coin,side,size,entry_price,position_value,unrealized_pnl,return_on_equity,leverage,margin_used,liquidation_price,cumulative_funding
ETH,SHORT,-27521.6448,3131.98,88294940.84736,-2097526.224831,-0.3650097107,15,5886329.389824,5028.1551571416,-6476024.814136
SOL,SHORT,-154483.5,140.7304,22213182.465,-472647.073332,-0.4348072067,20,1110659.12325,469.2762489255,-2152796.463317
HYPE,SHORT,-848023.4,25.3766,21187864.649,332102.107134,0.0462968337,3,7062621.549666,80.3026172479,-3140743.436839
XRP,SHORT,-4138446.0,2.106206,8773919.3646,-57498.866924,-0.0659661462,10,877391.93646,14.1748547742,-1270187.020548
DOGE,SHORT,-39843338.0,0.145644,5731862.60468,71101.967563,0.1225269717,10,573186.260468,1.3375146471,-764127.37149
SUI,SHORT,-1534950.5,1.8054,2826304.35565,-55091.957476,-0.1988009202,10,282630.435565,32.9115243413,-306115.143798
ENA,SHORT,-12213423.0,0.22462,2787835.93398,-44447.298394,-0.0810080238,5,557567.186796,4.1332262779,-181774.508206
FARTCOIN,SHORT,-6042881.3,0.38151,2441867.904517,-136408.151218,-0.1775023195,3,813955.968172,8.2991202684,-1779016.225899
ASTER,SHORT,-3164668.0,0.731901,2287073.91692,29150.215834,0.0377556931,3,762357.972306,15.5459301814,-90664.840624
LINK,SHORT,-163318.1,13.36022,2229782.0193,-47815.056662,-0.2191373998,10,222978.20193,305.8335423857,-260970.824354
XPL,SHORT,-12985085.0,0.161685,2055928.50805,43566.520995,0.103754761,5,411185.70161,3.7742898646,-84896.182067
BTC,LONG,20.97645,93691.0,1973002.9341,7696.290452,0.0783215228,20,98650.146705,,-4709918.066812
PUMP,SHORT,-722420345.0,0.002474,1936086.5246,-148640.078803,-0.2494733408,3,645362.174866,0.0687519499,-288144.269091
BNB,SHORT,-1624.682,898.776,1529670.59664,-69444.999715,-0.2377885988,5,305934.119328,29856.3888870533,-102830.564506
TAO,SHORT,-4814.383,260.484,1399974.43257,-145900.258153,-0.5817050583,5,279994.886514,10034.6416749617,-129826.838253
VIRTUAL,SHORT,-1289041.1,1.04385,1322813.97682,22757.737972,0.0845653105,5,264562.795364,37.4180837487,-155143.501462
AAVE,SHORT,-7059.16,163.7487,1234223.5344,-78294.864169,-0.6773330067,10,123422.35344,6941.0308354256,-135833.535407
PAXG,SHORT,-237.684,4538.71,1093869.3048,-15090.514918,-0.0699425826,5,218773.86096,202332.2792766217,-21830.700902
LTC,SHORT,-12939.11,77.2832,997346.5988,2630.074872,0.0263013622,10,99734.65988,3769.3270580464,-99079.917844
UNI,SHORT,-123613.7,5.66687,691420.86958,9082.262555,0.1296534182,10,69142.086958,392.1872528351,-193974.058671
TIA,SHORT,-1113746.5,0.52584,663236.04075,-77581.808466,-1.3247032838,10,66323.604075,43.5043465596,-120450.250968
LDO,SHORT,-1012831.1,0.58835,645517.773274,-49616.147958,-0.4163115676,5,129103.554654,47.0593503212,-169400.983342
WLD,SHORT,-1001929.5,0.53188,604794.704085,-71887.986884,-1.3489788093,10,60479.470408,48.3038265699,-371947.115285
WIF,SHORT,-1493800.0,0.360954,591634.428,-52440.734589,-0.486288464,5,118326.8856,31.7996172757,-268339.436707
SPX,SHORT,-955744.9,0.59178,580548.124607,-14950.045805,-0.1321613913,5,116109.624921,49.6902279919,-96099.33975
TRX,SHORT,-1791173.0,0.29415,544552.41546,-17677.891047,-0.3355237391,10,54455.241546,26.5562274151,-66875.729417
MON,SHORT,-21871780.0,0.024104,531637.35646,-4420.787281,-0.0251554344,3,177212.452153,2.1691088341,-10487.664045
ZEC,SHORT,-1062.3,394.0746,421403.787,-2778.30888,-0.0331837051,5,84280.7574,45393.9318807844,5640.487705
PENGU,SHORT,-32418570.0,0.012216,418005.04158,-21977.423908,-0.2774733747,5,83601.008316,1.4599237073,-134959.617485
SEI,SHORT,-3241808.0,0.121679,402308.3728,-7845.341595,-0.1988866123,10,40230.83728,14.6310389522,-33988.022239
kPEPE,SHORT,-57529941.0,0.006012,352601.008389,-6729.215374,-0.1945580851,10,35260.100838,0.8370649721,-418354.581602
