market,total_orders,num_bids,num_asks,best_bid,best_ask,mid_price,spread_pct,total_bid_size,total_ask_size,bid_notional_usd,ask_notional_usd,total_notional_usd,avg_bid_spacing_pct,avg_ask_spacing_pct
BTC,105,49,56,93570.0,93579.0,93574.5,0.009618004905182501,435.5702899999999,400.2610499999999,40071947.45744,38050808.44956999,78122755.90700999,0.061132349020896544,0.055085496037838425
ETH,103,48,55,3199.5,3200.2,3199.85,0.021876025438686754,5075.5738,4933.143300000001,16002676.959199999,16017846.47864,32020523.43784,0.06257343313429471,0.05478629435277113
SOL,54,26,28,143.46,143.48,143.47,0.013940196556758773,50338.81,47722.759999999995,7064545.813399999,7004894.3371,14069440.1505,0.15654864599615526,0.15144884590050472
HYPE,27,14,13,24.806,24.865,24.8355,0.2375631656298343,237540.25,155619.9,5565274.670209999,4151115.13626,9716389.80647,0.6646714391005578,0.6799410993281371
XRP,58,29,29,2.1049,2.1066,2.10575,0.08073133087971462,2371160.0,2185309.0,4784979.8911999995,4777021.661600001,9562001.5528,0.2741094134450169,0.25056633000055745
DOGE,38,19,19,0.14347,0.14353,0.1435,0.0418118466898986,30630357.0,32723476.0,4276057.13404,4836515.38093,9112572.51497,0.3342297763581239,0.3210901928348229
@230,20,10,10,1.0001,1.0002,1.00015,0.009998500224965153,1500254.1199999999,1500058.15,1500269.1222499998,1500493.166695,3000762.2889449997,0.0011110000111098778,0.001110888933324324
@142,29,16,13,93599.0,93615.0,93607.0,0.017092738790902392,15.609200000000001,13.901069999999999,1456286.83576,1306302.16805,2762589.0038099997,0.03504878105965225,0.052117674309160415
@151,22,11,11,3199.3,3200.3,3199.8,0.03125195324707794,350.1789,443.8466,1099241.7005699999,1440385.95273,2539627.6533,0.3781282151889179,0.3657796724773582
kPEPE,28,14,14,0.006064,0.006068,0.006066,0.06594131223210786,203633219.0,189629922.0,1188502.168169,1188742.97609,2377245.144259,0.7951946600856231,0.7473347532465412
@107,24,12,12,24.803,24.809,24.806,0.02418769652503518,45346.22,38247.31,1088230.10494,975613.8050999999,2063843.91004,0.826039681349674,0.6187567236540931
@166,10,5,5,0.9992,1.0001,0.9996499999999999,0.0900315110288613,901796.57,989536.4500000001,897981.1859384001,993405.668742,1891386.8546804,0.11750639338103806,0.11981684113927973
