market,side,tier,size,level_in_tier,price,mid_price,distance_from_mid_bps,notional
@107,BID,1,97.72,1,24.803,24.806,1.209384826251759,2423.74916
@107,BID,2,892.06,1,24.774,24.806,12.90010481335162,22099.89444
@107,BID,3,1505.58,1,24.722,24.806,33.86277513504782,37220.94876
@107,BID,4,2148.37,1,24.745,24.806,24.590824800451482,53161.41565
@107,BID,5,3407.59,1,23.662,24.806,461.1787470773208,80630.39458000001
@107,BID,6,3640.83,1,24.471,24.806,135.04797226477498,89094.75093
@107,BID,7,4433.93,1,24.702,24.806,41.92534064339241,109526.93886000001
@107,BID,8,4506.45,1,24.557,24.806,100.37894057889314,110664.89265
@107,BID,9,4619.18,1,24.02,24.806,316.85882447794944,110952.70360000001
@107,BID,10,4793.13,1,24.707,24.806,39.90969926630662,118423.86291000001
@107,BID,11,4810.01,1,24.263,24.806,218.8986535515598,116705.27263
@107,BID,12,10491.37,1,22.621,24.806,880.8352817866653,237325.28077
@107,ASK,1,99.63,1,24.809,24.806,1.209384826251759,2471.72067
@107,ASK,2,1122.74,1,24.844,24.806,15.318874465855139,27893.352560000003
@107,ASK,3,1155.87,1,24.832,24.806,10.481335160848102,28702.56384
@107,ASK,4,2169.92,1,24.876,24.806,28.21897927920676,53978.92992
@107,ASK,5,3272.39,1,25.762,24.806,385.3906312988791,84303.31118
@107,ASK,6,3498.47,1,25.098,24.806,117.71345642183265,87804.60006
@107,ASK,7,3544.48,1,25.512,24.806,284.60856244456966,90426.77376
@107,ASK,8,3545.31,1,24.932,24.806,50.79416270257102,88391.66892
@107,ASK,9,4188.87,1,24.928,24.806,49.181649600902965,104420.15136
@107,ASK,10,4197.48,1,25.234,24.806,172.5389018785781,105919.21032
@107,ASK,11,4600.34,1,25.959,24.806,464.80690155607465,119420.22606
@107,ASK,12,6851.81,1,26.545,24.806,701.0400709505768,181881.29645000002
ZEC,BID,1,1.28,1,387.8,387.89,2.3202454304048827,496.384
ZEC,BID,2,1.29,1,387.72,387.89,4.382685812987163,500.15880000000004
ZEC,BID,2,1.29,2,387.62,387.89,6.960736291216113,500.0298
ZEC,BID,3,28.4,1,387.43,387.89,11.859032199849945,11003.011999999999
ZEC,BID,4,28.41,1,387.24,387.89,16.75732810848378,11001.4884
ZEC,BID,5,28.42,1,387.15,387.89,19.077573538890128,11002.803
ZEC,BID,6,38.78,1,386.98,387.89,23.46025935187729,15007.084400000002
ZEC,BID,7,38.79,1,386.84,387.89,27.069530021398112,15005.523599999999
ZEC,BID,8,38.81,1,386.63,387.89,32.48343602567715,15005.1103
ZEC,BID,9,38.84,1,386.34,387.89,39.95978241253993,15005.445600000001
ZEC,BID,9,38.84,2,386.31,387.89,40.73319755600774,15004.280400000001
ZEC,BID,10,191.81,1,385.97,387.89,49.498569181983534,74032.9057
ZEC,BID,10,191.81,2,385.97,387.89,49.498569181983534,74032.9057
ZEC,BID,11,192.18,1,385.23,387.89,68.57614272087365,74033.50140000001
ZEC,BID,12,192.38,1,384.84,387.89,78.6305395859654,74035.5192
ZEC,ASK,1,1.28,1,387.98,387.89,2.3202454304063482,496.61440000000005
ZEC,ASK,1,1.28,2,388.07,387.89,4.640490860811231,496.7296
ZEC,ASK,1,1.28,3,388.14,387.89,6.445126195570909,496.81919999999997
ZEC,ASK,2,28.26,1,389.4,387.89,38.92856222124806,11004.444
ZEC,ASK,3,28.31,1,388.66,387.89,19.8509886823594,11002.9646
ZEC,ASK,4,28.32,1,388.59,387.89,18.046353347598252,11004.8688
